0.000,	 0.0000
0.000,	 0.0016
0.009,	 0.0046
0.017,	 0.0093
0.026,	 0.0157
0.034,	 0.0239
0.043,	 0.0339
0.051,	 0.0458
0.060,	 0.0596
0.069,	 0.0752
0.077,	 0.0925
0.086,	 0.1115
0.094,	 0.1320
0.103,	 0.1538
0.111,	 0.1767
0.120,	 0.2003
0.129,	 0.2244
0.137,	 0.2487
0.146,	 0.2729
0.154,	 0.2967
0.163,	 0.3199
0.171,	 0.3424
0.180,	 0.3638
0.189,	 0.3841
0.197,	 0.4032
0.206,	 0.4211
0.214,	 0.4376
0.223,	 0.4529
0.231,	 0.4669
0.240,	 0.4796
0.249,	 0.4911
0.257,	 0.5015
0.266,	 0.5107
0.274,	 0.5189
0.283,	 0.5260
0.291,	 0.5321
0.300,	 0.5373
0.309,	 0.5416
0.317,	 0.5450
0.326,	 0.5476
0.334,	 0.5494
0.343,	 0.5504
0.351,	 0.5507
0.360,	 0.5503
0.369,	 0.5492
0.377,	 0.5474
0.386,	 0.5449
0.394,	 0.5417
0.403,	 0.5379
0.411,	 0.5334
0.420,	 0.5284
0.429,	 0.5227
0.437,	 0.5163
0.446,	 0.5094
0.454,	 0.5018
0.463,	 0.4937
0.471,	 0.4850
0.480,	 0.4757
0.489,	 0.4658
0.497,	 0.4554
0.506,	 0.4445
0.514,	 0.4330
0.523,	 0.4211
0.531,	 0.4088
0.540,	 0.3960
0.549,	 0.3828
0.557,	 0.3692
0.566,	 0.3554
0.574,	 0.3413
0.583,	 0.3269
0.591,	 0.3123
0.600,	 0.2976
0.609,	 0.2828
0.617,	 0.2679
0.626,	 0.2530
0.634,	 0.2382
0.643,	 0.2234
0.651,	 0.2088
0.660,	 0.1944
0.669,	 0.1801
0.677,	 0.1662
0.686,	 0.1525
0.694,	 0.1391
0.703,	 0.1261
0.711,	 0.1135
0.720,	 0.1014
0.729,	 0.0897
0.737,	 0.0785
0.746,	 0.0679
0.754,	 0.0578
0.763,	 0.0483
0.771,	 0.0395
0.780,	 0.0314
0.789,	 0.0241
0.797,	 0.0176
0.806,	 0.0120
0.814,	 0.0073
0.823,	 0.0037
0.831,	 0.0012
0.840,	 0.0000
0.849,	 0.0001
0.000,	 0.0000
