AKM23D;1;2.87;2.87;1.16;0.92;8000;8000;8000;0.53;0.216;8.77
AKM24D;2;3.52;2.48;1.41;1.11;6930;8000;8000;0.64;0.27;9.02
AKM32D;3;5.14;0;2.04;1.65;4710;5500;6570;0.91;0.59;10.3
AKM33E;4;6.35;0;2.79;2.34;4330;4500;5490;1.08;0.85;9.01
AKM41E;5;3.87;3.29;2.02;1.58;5470;6000;6000;0.71;0.81;6.02
AKM42E;6;6.97;0;3.42;2.81;3320;3500;4790;1.25;1.45;7.78
AKM42G;7;7.99;6.71;3.53;2.35;5440;6000;6000;0.74;1.45;2.51
AKM43E;8;9.67;0;4.7;3.92;2510;2500;3500;1.70;2.09;8.61
AKM43G;9;10.9;1.25;4.8;3.01;4290;5000;6000;0.99;2.09;2.61
AKM44E;10;11.6;0;5.76;4.8;2210;2000;2950;2.02;2.73;8.08
AKM44G;11;13.3;0;5.88;3.76;3760;4000;5060;1.18;2.73;2.8
AKM44J;12;18.1;16;6;2.75;5550;6000;6000;0.68;2.73;0.94
AKM51E;13;9.14;0;4.7;3.98;2380;2500;3510;1.71;3.42;8.98
AKM51G;14;10.2;1.26;4.75;2.62;4060;5000;6000;0.98;3.42;2.75
AKM52E;15;15.4;0;8.34;7.61;1620;1500;2160;2.78;6.22;8.96
AKM52G;16;18.9;0;8.43;7.06;2370;2500;3360;1.79;6.22;3.7
AKM52K;17;16.9;8.52;8.6;3.9;5120;5500;6000;0.92;6.22;0.96
AKM53G;18;25.8;0;11.4;9.85;1860;2000;2520;2.39;9.12;3.97
AKM53K;19;22.9;0;11.6;7.65;4050;4000;4860;1.23;9.12;1.06
AKM54G;20;31.7;0;14.3;12.9;1600;1500;2090;2.86;11.9;4.08
AKM54K;21;28.1;0;14.4;10.1;3440;3500;4020;1.48;11.9;1.08
AKM54L;22;29.5;0;14.1;8.13;4540;4500;5320;1.13;11.9;0.65
AKM62G;23;25.6;0;11.9;10.4;1530;1800;2440;2.45;16.9;4.13
AKM62K;24;22.7;0;12.2;9.01;3390;3500;4720;1.27;16.9;1.08
AKM62M;25;22.8;11.4;12.2;5.74;4770;6000;6000;0.91;16.9;0.57
AKM63G;26;38.4;0;16.5;15;1030;1200;1630;3.68;24.2;5.5
AKM63K;27;31;0;16.8;12.9;2760;3000;3530;1.70;24.2;1.14
AKM63M;28;31.4;0;17;11.3;3830;4000;4850;1.23;24.2;0.61
AKM63N;29;34.8;7.75;17;9.6;4580;5000;6000;0.98;24.2;0.39
AKM64K;30;41.2;0;20.8;17.2;2080;2000;2650;2.26;31.6;1.41
AKM64L;31;41.9;0;21;15.6;2900;3000;3640;1.64;31.6;0.75
AKM64P;32;40.2;0;20.4;11.9;4470;4500;5460;1.10;31.6;0.36
AKM65K;33;46.8;0;24.8;20.2;1960;2000;2370;2.53;40;1.35
AKM65M;34;47.6;0;25;19.2;2710;2500;3250;1.84;40;0.73
AKM65N;35;50.2;0;24.3;16;3590;3500;4370;1.37;40;0.43
AKM72K;36;59.4;0;29.7;25.1;1350;1500;1860;3.19;64.5;1.36
AKM72M;37;59.8;0;30;23.6;1900;2000;2590;2.31;64.5;0.69
AKM72P;38;58.4;0;29.4;20.1;2850;3000;3800;1.57;64.5;0.35
AKM73M;39;80.7;0;42;33.8;1510;1500;1940;3.09;92.1;0.76
AKM73P;40;79.4;0;41.6;28.5;2240;2400;2830;2.13;92.1;0.38
AKM74L;41;108;0;53;45.5;1120;1200;1460;4.11;120;0.93
AKM74P;42;106;0;52.5;37.6;1680;1800;2120;2.84;120;0.47
